10.100.2.64,255.255.255.144,4147,20297102,0xc0da465a
10.100.2.190,255.255.255.153,1083,63595570,0x2114985f
10.100.2.112,255.255.255.29,9003,66336368,0xdc7fd14a
10.100.2.4,255.255.255.72,640,22356700,0x973fb789
10.100.2.120,255.255.255.54,1919,36711437,0x2fecc456
10.100.2.148,255.255.255.196,3368,24339639,0x507df8dc
10.100.2.216,255.255.255.214,298,63562516,0x3cacb035
10.100.2.112,255.255.255.198,504,3838900,0xc8da5167
10.100.2.240,255.255.255.40,4311,62863260,0xcc586bbf
10.100.2.212,255.255.255.241,1356,76442111,0x8ba28e34
